# Event 'cycles'
#
# Baseline  Delta Abs  Shared Object             Symbol                                         
# ........  .........  ........................  ...............................................
#
     0.01%     +0.00%  [kernel.kallsyms]         [k] chown_common
               +0.00%  [kernel.kallsyms]         [k] ext4_io_submit
     0.11%     -0.00%  [kernel.kallsyms]         [k] stop_this_handle
     0.00%     +0.00%  [kernel.kallsyms]         [k] legitimize_root
     0.00%     +0.00%  [kernel.kallsyms]         [k] __xas_next
     0.00%     +0.00%  [kernel.kallsyms]         [k] __submit_bio
     0.02%     +0.00%  [kernel.kallsyms]         [k] kmalloc_slab
     0.00%     +0.00%  [kernel.kallsyms]         [k] update_ts_time_stats
     0.01%     -0.00%  [kernel.kallsyms]         [k] __se_sys_fchown
     0.00%     +0.00%  [kernel.kallsyms]         [k] page_add_file_rmap
     0.00%     +0.00%  [kernel.kallsyms]         [k] dx_probe
     0.01%     -0.00%  [kernel.kallsyms]         [k] iterate_dir
     0.01%     -0.00%  [kernel.kallsyms]         [k] write_cache_pages
     0.00%     +0.00%  [kernel.kallsyms]         [k] fd_install
     0.00%     +0.00%  [kernel.kallsyms]         [k] gpio_led_set
     0.09%     -0.00%  [kernel.kallsyms]         [k] filemap_get_folios
     0.01%     +0.00%  [kernel.kallsyms]         [k] up_read
     0.01%     +0.00%  [kernel.kallsyms]         [k] mnt_want_write
     0.02%     -0.00%  [kernel.kallsyms]         [k] mmc_blk_mq_complete_prev_req.part.0
     0.07%     +0.00%  [kernel.kallsyms]         [k] mpage_prepare_extent_to_map
     0.02%     -0.00%  [kernel.kallsyms]         [k] copy_page
     0.01%     +0.00%  [kernel.kallsyms]         [k] dd_bio_merge
     0.04%     +0.00%  [kernel.kallsyms]         [k] tick_nohz_idle_enter
     0.02%     +0.00%  [kernel.kallsyms]         [k] ext4_set_inode_flags
     0.02%     +0.00%  [kernel.kallsyms]         [k] __und_usr
     0.01%     -0.00%  [kernel.kallsyms]         [k] elv_attempt_insert_merge
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_es_cache_extent
     0.00%     +0.00%  [kernel.kallsyms]         [k] bcm2835_finish_data
     0.07%     +0.00%  [kernel.kallsyms]         [k] __fget_light
     0.01%     +0.00%  [kernel.kallsyms]         [k] find_busiest_group
     0.02%     +0.00%  [kernel.kallsyms]         [k] migrate_disable
     0.00%     +0.00%  [kernel.kallsyms]         [k] __blk_mq_free_request
               +0.00%  [kernel.kallsyms]         [k] ktime_get_ts64
     0.02%     -0.00%  [kernel.kallsyms]         [k] rcu_gp_cleanup
     0.00%     +0.00%  [kernel.kallsyms]         [k] vm_normal_page
     0.01%     +0.00%  [kernel.kallsyms]         [k] kthread_data
     0.01%     +0.00%  [kernel.kallsyms]         [k] blk_account_io_completion
     0.02%     +0.00%  [kernel.kallsyms]         [k] ext4_generic_delete_entry
     0.01%     +0.00%  [kernel.kallsyms]         [k] __fput
     0.01%     +0.00%  [kernel.kallsyms]         [k] ext4_convert_unwritten_extents
     0.00%     +0.00%  [kernel.kallsyms]         [k] init_once
     0.00%     +0.00%  [kernel.kallsyms]         [k] vfs_fchown
     0.01%     -0.00%  [kernel.kallsyms]         [k] expand_files
     0.05%     +0.00%  [kernel.kallsyms]         [k] current_time
               +0.00%  [kernel.kallsyms]         [k] __blk_account_io_start
     0.02%     -0.00%  [kernel.kallsyms]         [k] ext4_mb_initialize_context
     0.01%     +0.00%  [kernel.kallsyms]         [k] ext4_end_io_rsv_work
     0.02%     +0.00%  [kernel.kallsyms]         [k] rebalance_domains
     0.00%     +0.00%  [kernel.kallsyms]         [k] __block_write_full_page
     0.00%     +0.00%  [kernel.kallsyms]         [k] ext4_get_group_no_and_offset
     0.00%     +0.00%  [kernel.kallsyms]         [k] blk_attempt_bio_merge.part.0
     0.00%     +0.00%  [kernel.kallsyms]         [k] gpiochip_get_data
     0.01%     +0.00%  [kernel.kallsyms]         [k] truncate_inode_pages_range
     0.03%     +0.00%  [kernel.kallsyms]         [k] ksys_read
     0.01%     +0.00%  [kernel.kallsyms]         [k] __remove_mapping
     0.01%     -0.00%  [kernel.kallsyms]         [k] vchan_tx_submit
     0.04%     -0.00%  [kernel.kallsyms]         [k] flush_dcache_page
     0.00%     +0.00%  [kernel.kallsyms]         [k] __srcu_read_unlock
     0.00%     +0.00%  [kernel.kallsyms]         [k] gpiod_set_value_nocheck
               +0.00%  [kernel.kallsyms]         [k] mutex_spin_on_owner
     0.01%     -0.00%  [kernel.kallsyms]         [k] inode_io_list_move_locked
     0.15%     +0.00%  [kernel.kallsyms]         [k] ext4_es_lookup_extent
     0.03%     -0.00%  [kernel.kallsyms]         [k] ext4_mb_mark_diskspace_used
               +0.00%  [kernel.kallsyms]         [k] page_cache_ra_order
     0.00%     +0.00%  [kernel.kallsyms]         [k] mempool_free_slab
     0.02%     +0.00%  [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.05%     +0.00%  [kernel.kallsyms]         [k] notify_change
     0.02%     -0.00%  [kernel.kallsyms]         [k] task_work_add
     0.01%     +0.00%  [kernel.kallsyms]         [k] mempool_alloc
     0.01%     -0.00%  [kernel.kallsyms]         [k] set_bh_page
     0.04%     -0.00%  [kernel.kallsyms]         [k] __ext4_journal_stop
     0.01%     -0.00%  [kernel.kallsyms]         [k] lookup_dcache
     0.00%     +0.00%  [kernel.kallsyms]         [k] __pm_runtime_resume
     0.01%     -0.00%  [kernel.kallsyms]         [k] mnt_want_write_file
     0.02%     +0.00%  [kernel.kallsyms]         [k] __udivsi3
     0.01%     -0.00%  [kernel.kallsyms]         [k] copy_process
     0.00%     +0.00%  [kernel.kallsyms]         [k] ext4_inode_attach_jinode
     0.00%     -0.00%  [kernel.kallsyms]         [k] blk_finish_plug
     0.01%     -0.00%  [kernel.kallsyms]         [k] recalc_bh_state
     0.00%     +0.00%  [kernel.kallsyms]         [k] __vfs_getxattr
     0.00%     +0.00%  [kernel.kallsyms]         [k] prepare_to_wait_event
     0.01%     -0.00%  [kernel.kallsyms]         [k] kmem_cache_alloc_trace
     0.01%     -0.00%  [kernel.kallsyms]         [k] __vma_adjust
     0.03%     +0.00%  [kernel.kallsyms]         [k] folio_mapping
     0.01%     -0.00%  [kernel.kallsyms]         [k] d_instantiate_new
     0.00%     +0.00%  [kernel.kallsyms]         [k] vfs_open
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_file_open
               +0.00%  [kernel.kallsyms]         [k] do_fchownat
     0.01%     +0.00%  [kernel.kallsyms]         [k] getname_flags
     0.00%     +0.00%  [kernel.kallsyms]         [k] __fdget
     0.00%     +0.00%  [kernel.kallsyms]         [k] arch_dma_alloc
     0.00%     +0.00%  [kernel.kallsyms]         [k] ext4_ext_tree_init
     0.01%     -0.00%  [kernel.kallsyms]         [k] hrtimer_init_sleeper
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_mb_use_preallocated
     0.01%     -0.00%  [kernel.kallsyms]         [k] call_fpe
     0.00%     +0.00%  [kernel.kallsyms]         [k] grab_cache_page_write_begin
               +0.00%  [kernel.kallsyms]         [k] __pollwait
     0.00%     +0.00%  [kernel.kallsyms]         [k] init_page_buffers
     0.01%     -0.00%  [kernel.kallsyms]         [k] dma_unmap_sg_attrs
     0.02%     +0.00%  [kernel.kallsyms]         [k] ext4_ext_insert_extent
               +0.00%  [kernel.kallsyms]         [k] v7wbi_flush_user_tlb_range
     0.00%     +0.00%  [kernel.kallsyms]         [k] ext4_inode_is_fast_symlink
     0.06%     -0.00%  [kernel.kallsyms]         [k] vfs_read
     0.00%     -0.00%  [kernel.kallsyms]         [k] bcm2835_dma_complete
     0.01%     +0.00%  [kernel.kallsyms]         [k] ext4_mb_unload_buddy
     0.00%     -0.00%  [vdso]                    [.] 0x00000390
     0.00%     +0.00%  [kernel.kallsyms]         [k] unlock_page
     0.00%     +0.00%  [kernel.kallsyms]         [k] bcm2835_threaded_irq
     0.01%     -0.00%  [kernel.kallsyms]         [k] __sw_hweight32
     0.01%     -0.00%  [kernel.kallsyms]         [k] unlock_buffer
               +0.00%  [kernel.kallsyms]         [k] d_lru_del
               +0.00%  [kernel.kallsyms]         [k] nr_iowait_cpu
     0.00%     +0.00%  [kernel.kallsyms]         [k] __se_sys_close
     0.01%     -0.00%  [kernel.kallsyms]         [k] vfs_getattr_nosec
     0.01%     -0.00%  [kernel.kallsyms]         [k] workingset_activation
               +0.00%  [kernel.kallsyms]         [k] __lookup_slow
               +0.00%  [kernel.kallsyms]         [k] ext4_dirblock_csum_verify
     0.01%     +0.00%  [kernel.kallsyms]         [k] blk_mq_sched_bio_merge
     0.02%     -0.00%  [kernel.kallsyms]         [k] blk_mq_do_dispatch_sched
     0.00%     -0.00%  [kernel.kallsyms]         [k] inode_update_time
     0.05%     -0.00%  [kernel.kallsyms]         [k] ext4_mpage_readpages
     0.12%     -0.00%  [kernel.kallsyms]         [k] __kmap_local_pfn_prot
     0.01%     +0.00%  [kernel.kallsyms]         [k] __folio_mark_dirty
               +0.00%  [kernel.kallsyms]         [k] jbd2_journal_switch_revoke_table
     0.00%     +0.00%  [kernel.kallsyms]         [k] __init_swait_queue_head
     0.00%     +0.00%  [kernel.kallsyms]         [k] rb_next_postorder
     0.03%     -0.00%  [kernel.kallsyms]         [k] down_read
     0.01%     -0.00%  [kernel.kallsyms]         [k] path_lookupat
     0.00%     +0.00%  [kernel.kallsyms]         [k] end_bio_bh_io_sync
     0.01%     +0.00%  [kernel.kallsyms]         [k] ext4_mb_find_by_goal
     0.00%     +0.00%  [kernel.kallsyms]         [k] ext4_read_block_bitmap
     0.03%     -0.00%  [kernel.kallsyms]         [k] do_work_pending
     0.00%     -0.00%  [kernel.kallsyms]         [k] rb_first
     0.01%     -0.00%  [kernel.kallsyms]         [k] wait_for_completion
     0.03%     +0.00%  [kernel.kallsyms]         [k] block_write_end
     0.01%     +0.00%  [kernel.kallsyms]         [k] usleep_range_state
     0.01%     +0.00%  [kernel.kallsyms]         [k] ext4_add_nondir
     0.01%     -0.00%  [kernel.kallsyms]         [k] alloc_inode
     0.00%     +0.00%  [kernel.kallsyms]         [k] ext4_inode_bitmap_csum_set
     0.01%     -0.00%  [kernel.kallsyms]         [k] submit_bio_noacct_nocheck
     0.01%     +0.00%  [kernel.kallsyms]         [k] handle_mm_fault
     0.00%     +0.00%  [kernel.kallsyms]         [k] mmc_wait_for_req
     0.00%     -0.00%  [kernel.kallsyms]         [k] __fdget_raw
     0.07%     -0.00%  [kernel.kallsyms]         [k] path_openat
     0.02%     +0.00%  [kernel.kallsyms]         [k] bcm2835_finish_command
     0.00%     +0.00%  [kernel.kallsyms]         [k] end_page_writeback
     0.01%     -0.00%  [kernel.kallsyms]         [k] bio_put
     0.01%     -0.00%  [kernel.kallsyms]         [k] vfp_support_entry
     0.00%     +0.00%  [kernel.kallsyms]         [k] select_collect
     0.01%     -0.00%  [kernel.kallsyms]         [k] __se_sys_fchmod
     0.00%     -0.00%  [kernel.kallsyms]         [k] __jbd2_journal_remove_checkpoint
     0.01%     +0.00%  [kernel.kallsyms]         [k] generic_write_checks
     0.02%     +0.00%  [kernel.kallsyms]         [k] __block_write_begin
     0.00%     +0.00%  [kernel.kallsyms]         [k] vfs_mkdir
     0.00%     +0.00%  [kernel.kallsyms]         [k] bcm2835_dma_free_cb_chain
     0.02%     -0.00%  [kernel.kallsyms]         [k] __fdget_pos
     0.00%     -0.00%  [kernel.kallsyms]         [k] global_dirtyable_memory
     0.01%     -0.00%  [kernel.kallsyms]         [k] mb_set_largest_free_order
     0.00%     +0.00%  libdbus-1.so.3.19.13      [.] 0x00009948
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_free_inodes_count
     0.01%     +0.00%  [kernel.kallsyms]         [k] clear_inode
     0.00%     +0.00%  [kernel.kallsyms]         [k] ext4_da_update_reserve_space
     0.00%     -0.00%  [kernel.kallsyms]         [k] wait_on_page_writeback
     0.01%     +0.00%  [kernel.kallsyms]         [k] blk_update_request
     0.00%     +0.00%  [kernel.kallsyms]         [k] blk_mq_sched_insert_request
     0.01%     -0.00%  [kernel.kallsyms]         [k] mempool_free
     0.05%     -0.00%  [kernel.kallsyms]         [k] ext4fs_dirhash
     0.00%     -0.00%  [kernel.kallsyms]         [k] kblockd_mod_delayed_work_on
     0.01%     +0.00%  [kernel.kallsyms]         [k] ext4_set_aops
     0.01%     -0.00%  [kernel.kallsyms]         [k] __ext4_read_dirblock
     0.01%     +0.00%  [kernel.kallsyms]         [k] __lookup_hash
               +0.00%  [kernel.kallsyms]         [k] datagram_poll
     0.10%     +0.00%  [kernel.kallsyms]         [k] fault_in_readable
     0.01%     +0.00%  [kernel.kallsyms]         [k] should_fail_alloc_page
     0.01%     +0.00%  [kernel.kallsyms]         [k] filp_close
               +0.00%  [kernel.kallsyms]         [k] dma_async_tx_descriptor_init
     0.01%     -0.00%  [kernel.kallsyms]         [k] lockref_get_not_dead
     0.01%     -0.00%  [kernel.kallsyms]         [k] mb_clear_bits
     0.02%     -0.00%  [kernel.kallsyms]         [k] ext4_read_inode_bitmap
     0.00%     -0.00%  [kernel.kallsyms]         [k] do_vfp
     0.00%     +0.00%  [kernel.kallsyms]         [k] od_dbs_update
               +0.00%  [kernel.kallsyms]         [k] __mmc_poll_for_busy
     0.00%     -0.00%  [kernel.kallsyms]         [k] set_nlink
     0.02%     +0.00%  [kernel.kallsyms]         [k] free_unref_page_prepare.part.0
     0.06%     +0.00%  [kernel.kallsyms]         [k] ext4_mb_regular_allocator
     0.00%     +0.00%  [kernel.kallsyms]         [k] current_umask
     0.01%     -0.00%  [kernel.kallsyms]         [k] blk_mq_sched_insert_requests
     0.02%     +0.00%  [kernel.kallsyms]         [k] move_expired_inodes
     0.01%     +0.00%  [kernel.kallsyms]         [k] do_get_write_access
     0.02%     -0.00%  [kernel.kallsyms]         [k] __ext4_ext_check
               +0.00%  [kernel.kallsyms]         [k] finish_wait
     0.00%     +0.00%  [kernel.kallsyms]         [k] vfp_reload_hw
     0.00%     -0.00%  [kernel.kallsyms]         [k] do_mkdirat
     0.01%     -0.00%  [kernel.kallsyms]         [k] mpage_release_unused_pages
     0.01%     +0.00%  [kernel.kallsyms]         [k] ext4_end_bio
     0.00%     +0.00%  [kernel.kallsyms]         [k] do_timerfd_settime
     0.02%     -0.00%  [kernel.kallsyms]         [k] __wake_up
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_iomap_begin
     0.02%     -0.00%  [kernel.kallsyms]         [k] jbd2_journal_add_journal_head
               +0.00%  [kernel.kallsyms]         [k] is_dx_dir
     0.00%     +0.00%  [kernel.kallsyms]         [k] __mutex_lock.constprop.0
     0.00%     -0.00%  [kernel.kallsyms]         [k] blk_mq_sched_dispatch_requests
     0.03%     +0.00%  [kernel.kallsyms]         [k] mutex_lock
     0.00%     +0.00%  [kernel.kallsyms]         [k] update_group_capacity
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_release_file
     0.00%     +0.00%  [kernel.kallsyms]         [k] ksys_fchown
     0.01%     -0.00%  [kernel.kallsyms]         [k] list_lru_del
     0.13%     -0.00%  [kernel.kallsyms]         [k] __ext4_handle_dirty_metadata
     0.01%     -0.00%  [kernel.kallsyms]         [k] __blk_mq_get_driver_tag
     0.00%     +0.00%  [kernel.kallsyms]         [k] jbd2_journal_cancel_revoke
     0.03%     +0.00%  [kernel.kallsyms]         [k] get_random_u32
               +0.00%  [kernel.kallsyms]         [k] d_lru_shrink_move
     0.06%     -0.00%  [kernel.kallsyms]         [k] _raw_read_lock
               +0.00%  [kernel.kallsyms]         [k] __writepage
     0.01%     +0.00%  [kernel.kallsyms]         [k] ext4_meta_trans_blocks
     0.01%     -0.00%  [kernel.kallsyms]         [k] copy_page_range
     0.04%     -0.00%  [kernel.kallsyms]         [k] folio_batch_add_and_move
     0.01%     -0.00%  [kernel.kallsyms]         [k] hrtimer_active
     0.00%     +0.00%  [kernel.kallsyms]         [k] try_to_del_timer_sync
               +0.00%  [kernel.kallsyms]         [k] cap_capable
     0.01%     +0.00%  [kernel.kallsyms]         [k] strnlen_user
     0.01%     +0.00%  [kernel.kallsyms]         [k] ext4_handle_dirty_dirblock
     0.01%     -0.00%  [kernel.kallsyms]         [k] mntput
               +0.00%  [kernel.kallsyms]         [k] guard_bio_eod
     0.01%     +0.00%  [kernel.kallsyms]         [k] pick_file
     0.00%     -0.00%  [kernel.kallsyms]         [k] cp_new_stat64
     0.01%     -0.00%  [kernel.kallsyms]         [k] find_inode_fast
     0.01%     -0.00%  [kernel.kallsyms]         [k] wake_up_bit
     0.00%     +0.00%  [kernel.kallsyms]         [k] ext4_getattr
               +0.00%  [kernel.kallsyms]         [k] sigprocmask
     0.00%     +0.00%  [kernel.kallsyms]         [k] validate_desc
     0.00%     +0.00%  [kernel.kallsyms]         [k] __se_sys_fcntl64
     0.01%     +0.00%  [kernel.kallsyms]         [k] ___d_drop
               +0.00%  [kernel.kallsyms]         [k] perf_poll
               +0.00%  [kernel.kallsyms]         [k] jbd2_journal_write_revoke_records
     0.00%     +0.00%  [kernel.kallsyms]         [k] arch_dma_free
     0.00%     +0.00%  [kernel.kallsyms]         [k] force_qs_rnp
               +0.00%  dhcpcd5                   [.] 0x0000ab48
     0.05%     -0.00%  [kernel.kallsyms]         [k] step_into
     0.00%     +0.00%  [kernel.kallsyms]         [k] pfn_valid
     0.00%     -0.00%  [kernel.kallsyms]         [k] get_signal
     0.00%     -0.00%  [kernel.kallsyms]         [k] mmc_blk_mq_complete_work
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_da_release_space
     0.00%     +0.00%  [kernel.kallsyms]         [k] ext4_destroy_inode
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_free_in_core_inode
     0.02%     +0.00%  [kernel.kallsyms]         [k] touch_atime
     0.01%     -0.00%  [kernel.kallsyms]         [k] __wake_up_sync_key
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_truncate
     0.00%     +0.00%  [kernel.kallsyms]         [k] free_rb_tree_fname
     0.00%     +0.00%  [kernel.kallsyms]         [k] journal_end_buffer_io_sync
     0.00%     -0.00%  [kernel.kallsyms]         [k] new_inode
     0.08%     -0.00%  [kernel.kallsyms]         [k] node_dirty_ok
     0.00%     +0.00%  [kernel.kallsyms]         [k] do_sys_poll
     0.00%     +0.00%  [kernel.kallsyms]         [k] ext4_ext_correct_indexes
     0.04%     -0.00%  [kernel.kallsyms]         [k] __cancel_work
     0.00%     +0.00%  [kernel.kallsyms]         [k] rb_prev
     0.00%     -0.00%  [kernel.kallsyms]         [k] hrtimer_try_to_cancel
     0.03%     +0.00%  [kernel.kallsyms]         [k] generic_permission
     0.01%     +0.00%  [kernel.kallsyms]         [k] __ext4_ext_dirty
     0.00%     -0.00%  [kernel.kallsyms]         [k] __dma_map_sg_attrs
               +0.00%  [kernel.kallsyms]         [k] __seccomp_filter
     0.00%     +0.00%  [kernel.kallsyms]         [k] get_cpu_idle_time
     0.01%     +0.00%  [kernel.kallsyms]         [k] htree_dirblock_to_tree
               +0.00%  [kernel.kallsyms]         [k] poll_freewait
     0.05%     -0.00%  [kernel.kallsyms]         [k] create_empty_buffers
     0.00%     +0.00%  [kernel.kallsyms]         [k] led_set_brightness_nopm
     0.01%     +0.00%  [kernel.kallsyms]         [k] __jbd2_journal_file_buffer
               +0.00%  [kernel.kallsyms]         [k] kswapd
     0.00%     +0.00%  [kernel.kallsyms]         [k] __se_sys_unlinkat
     0.00%     +0.00%  sshd                      [.] 0x0004c604
     0.02%     -0.00%  [kernel.kallsyms]         [k] __divsi3
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_init_io_end
     0.00%     +0.00%  [kernel.kallsyms]         [k] vfp_hw_state_valid
     0.00%     +0.00%  [kernel.kallsyms]         [k] sub_reserved_credits
     0.01%     -0.00%  [kernel.kallsyms]         [k] blk_mq_run_hw_queue
     0.00%     +0.00%  [kernel.kallsyms]         [k] core_sys_select
     0.00%     -0.00%  [kernel.kallsyms]         [k] mmc_blk_urgent_bkops
               +0.00%  [kernel.kallsyms]         [k] ext4_ext_find_goal
     0.01%     +0.00%  [kernel.kallsyms]         [k] __legitimize_path
               +0.00%  [kernel.kallsyms]         [k] pmd_install
               +0.00%  [kernel.kallsyms]         [k] list_lru_count_one
     0.03%     -0.00%  [kernel.kallsyms]         [k] free_unref_page
     0.00%     +0.00%  [kernel.kallsyms]         [k] jbd2_journal_next_log_block
     0.03%     -0.00%  [kernel.kallsyms]         [k] __mnt_want_write
               +0.00%  [kernel.kallsyms]         [k] elv_rqhash_reposition
               +0.00%  [kernel.kallsyms]         [k] mm_release
     0.00%     -0.00%  [kernel.kallsyms]         [k] wp_page_copy
     0.00%     +0.00%  [kernel.kallsyms]         [k] unix_dgram_poll
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_convert_unwritten_io_end_vec
     0.00%     +0.00%  [kernel.kallsyms]         [k] mb_free_blocks
     0.02%     -0.00%  [kernel.kallsyms]         [k] task_work_run
     0.00%     +0.00%  [kernel.kallsyms]         [k] anon_vma_interval_tree_remove
     0.00%     +0.00%  [kernel.kallsyms]         [k] run_rebalance_domains
     0.01%     +0.00%  [kernel.kallsyms]         [k] ext4_delete_entry
     0.01%     +0.00%  [kernel.kallsyms]         [k] jbd2_journal_write_metadata_buffer
     0.01%     +0.00%  [kernel.kallsyms]         [k] __alloc_file
     0.00%     +0.00%  [kernel.kallsyms]         [k] jbd2_journal_start_reserved
     0.00%     +0.00%  [kernel.kallsyms]         [k] prepend_path
     0.01%     -0.00%  [kernel.kallsyms]         [k] in_group_p
     0.00%     +0.00%  [kernel.kallsyms]         [k] may_setattr
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_insert_dentry
     0.01%     +0.00%  [kernel.kallsyms]         [k] __init_rwsem
     0.00%     -0.00%  [kernel.kallsyms]         [k] ext4_file_read_iter
               +0.00%  [kernel.kallsyms]         [k] down_read_trylock
     0.00%     -0.00%  [kernel.kallsyms]         [k] find_vma
     0.00%     +0.00%  [kernel.kallsyms]         [k] d_shrink_del
     0.00%     -0.00%  [kernel.kallsyms]         [k] __blk_mq_run_hw_queue
     0.01%     +0.00%  [kernel.kallsyms]         [k] xa_load
     0.00%     +0.00%  [kernel.kallsyms]         [k] shrink_dentry_list
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_validate_block_bitmap.part.0
     0.00%     -0.00%  [kernel.kallsyms]         [k] vfs_fstatat
               +0.00%  [kernel.kallsyms]         [k] inotify_poll
     0.00%     +0.00%  [kernel.kallsyms]         [k] strlen
     0.00%     +0.00%  [kernel.kallsyms]         [k] cancel_delayed_work
     0.00%     -0.00%  [kernel.kallsyms]         [k] __sbitmap_queue_get
               +0.00%  [kernel.kallsyms]         [k] jbd2_journal_forget
     0.00%     +0.00%  [kernel.kallsyms]         [k] __se_sys_fchownat
     0.00%     +0.00%  [kernel.kallsyms]         [k] ext4_free_inodes_set
               +0.00%  [kernel.kallsyms]         [k] __jbd2_log_start_commit
     0.00%     +0.00%  [kernel.kallsyms]         [k] arch_counter_read
     0.00%     +0.00%  [kernel.kallsyms]         [k] __ext4_get_inode_loc_noinmem
               +0.00%  [kernel.kallsyms]         [k] format_decode
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_inode_to_goal_block
     0.16%     -0.00%  [kernel.kallsyms]         [k] percpu_counter_add_batch
               +0.00%  [kernel.kallsyms]         [k] inode_has_buffers
               +0.00%  [kernel.kallsyms]         [k] ext4_readahead
               +0.00%  [kernel.kallsyms]         [k] exit_task_stack_account
     0.06%     -0.00%  [kernel.kallsyms]         [k] copy_page_to_iter
     0.00%     -0.00%  [kernel.kallsyms]         [k] __pm_runtime_suspend
               +0.00%  [kernel.kallsyms]         [k] __mnt_drop_write_file.part.0
     0.04%     +0.00%  [kernel.kallsyms]         [k] __cond_resched
     0.02%     -0.00%  [kernel.kallsyms]         [k] xattr_resolve_name
     0.01%     -0.00%  [kernel.kallsyms]         [k] sbitmap_queue_clear
     0.01%     -0.00%  [kernel.kallsyms]         [k] dd_dispatch_request
     0.00%     +0.00%  [kernel.kallsyms]         [k] inode_sub_bytes
     0.00%     +0.00%  [kernel.kallsyms]         [k] jbd2_clear_buffer_revoked_flags
     0.01%     +0.00%  [kernel.kallsyms]         [k] mmc_blk_rw_rq_prep
               +0.00%  [kernel.kallsyms]         [k] ip_rcv_core.constprop.0
     0.00%     -0.00%  [kernel.kallsyms]         [k] domain_dirty_limits
               +0.00%  [kernel.kallsyms]         [k] pagevec_lookup_range_tag
               +0.00%  [kernel.kallsyms]         [k] page_vma_mapped_walk
     0.00%     +0.00%  [kernel.kallsyms]         [k] mmc_blk_mq_complete_rq
     0.00%     +0.00%  [kernel.kallsyms]         [k] ext4_rmdir
     0.03%     +0.00%  [kernel.kallsyms]         [k] submit_bio_noacct
     0.02%     +0.00%  [kernel.kallsyms]         [k] _raw_write_lock
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_inode_block_valid
     0.00%     +0.00%  [kernel.kallsyms]         [k] jbd2_journal_file_buffer
     0.01%     +0.00%  [kernel.kallsyms]         [k] __sync_icache_dcache
     0.00%     -0.00%  [kernel.kallsyms]         [k] __blk_mq_get_tag
     0.01%     +0.00%  [kernel.kallsyms]         [k] find_group_orlov
               +0.00%  [kernel.kallsyms]         [k] tcp_schedule_loss_probe
     0.00%     +0.00%  [kernel.kallsyms]         [k] get_orlov_stats
     0.01%     -0.00%  [kernel.kallsyms]         [k] bcm2835_gpio_set
     0.00%     +0.00%  [kernel.kallsyms]         [k] hrtimer_start_range_ns
               +0.00%  [kernel.kallsyms]         [k] rcu_qs
     0.00%     +0.00%  [kernel.kallsyms]         [k] vmacache_find
     0.02%     -0.00%  [kernel.kallsyms]         [k] terminate_walk
     0.01%     -0.00%  [kernel.kallsyms]         [k] blk_add_timer
     0.02%     +0.00%  [kernel.kallsyms]         [k] dma_direct_unmap_sg
               +0.00%  [kernel.kallsyms]         [k] _raw_spin_lock_bh
               +0.00%  [kernel.kallsyms]         [k] memchr_inv
     0.02%     -0.00%  [kernel.kallsyms]         [k] ext4_read_block_bitmap_nowait
     0.01%     +0.00%  [kernel.kallsyms]         [k] flush_smp_call_function_queue
     0.01%     +0.00%  [kernel.kallsyms]         [k] tag_pages_for_writeback
     0.01%     -0.00%  [kernel.kallsyms]         [k] blk_mq_attempt_bio_merge
     0.10%     -0.00%  [kernel.kallsyms]         [k] ext4_da_get_block_prep
     0.00%     -0.00%  [kernel.kallsyms]         [k] should_remove_suid
     0.00%     -0.00%  [kernel.kallsyms]         [k] ____fput
     0.00%     -0.00%  [kernel.kallsyms]         [k] __dma_page_dev_to_cpu
     0.00%     +0.00%  [kernel.kallsyms]         [k] fragmentation_score_zone_weighted
     0.01%     -0.00%  [kernel.kallsyms]         [k] attempt_merge
     0.00%     -0.00%  [kernel.kallsyms]         [k] get_unmapped_area.part.0
               +0.00%  [kernel.kallsyms]         [k] __jbd2_journal_unfile_buffer
     0.00%     +0.00%  [kernel.kallsyms]         [k] journal_clean_one_cp_list
     0.00%     +0.00%  [kernel.kallsyms]         [k] do_exit
     0.00%     +0.00%  [kernel.kallsyms]         [k] clk_core_set_rate_nolock
     0.00%     +0.00%  [kernel.kallsyms]         [k] mmc_release_host
     0.03%     +0.00%  [kernel.kallsyms]         [k] dput
     0.00%     +0.00%  [kernel.kallsyms]         [k] complete_walk
     0.00%     +0.00%  [kernel.kallsyms]         [k] elv_merge
     0.01%     -0.00%  [kernel.kallsyms]         [k] __dput_to_list
     0.01%     +0.00%  [kernel.kallsyms]         [k] mmc_queue_map_sg
     0.00%     -0.00%  [kernel.kallsyms]         [k] broadcast_tlb_mm_a15_erratum
               +0.00%  [kernel.kallsyms]         [k] perf_output_copy
